contact_id,customer_id,tenant_id,full_name,role,wa_id,email,is_proof_approver,created_at
787797eb-6ae8-9cff-0b26-4f5b718ca4e6,1fa48a73-7222-9877-55df-b36e5fc29844,ramco-printing,Dennis Njeri,Marketing Manager,,dennis@example.co.ke,False,2026-08-11
537fcc50-2254-2faf-eba6-a04bff065500,eedb3a03-9d8d-9f4e-8e4e-511ecfee26dc,ramco-printing,John Muthoni,Brand Manager,,john@example.co.ke,True,2026-08-11
3ee65f53-fef7-c40d-7c23-9e2a82b2918c,eedb3a03-9d8d-9f4e-8e4e-511ecfee26dc,ramco-printing,Alice Chebet,Office Manager,,alice@example.co.ke,True,2026-08-11
625c7bb1-53fe-9fe9-040e-0337f8de0848,eedb3a03-9d8d-9f4e-8e4e-511ecfee26dc,ramco-printing,Caroline Ochieng,Brand Manager,,caroline@example.co.ke,True,2026-08-11
a589fd34-54a4-a88e-0448-fd72532b7ba8,fdee6e16-066c-ffcc-87bd-d0d370dcd6eb,ramco-printing,Esther Wafula,Marketing Manager,254799565084,esther@example.co.ke,True,2026-08-11
90b4e5e8-8bd5-20a6-57ff-55c01f8ab204,fdee6e16-066c-ffcc-87bd-d0d370dcd6eb,ramco-printing,Mary Chebet,Marketing Manager,254749855500,mary@example.co.ke,True,2026-08-11
079ced8e-c2ff-4099-8dd1-62b6261c9cc8,fdee6e16-066c-ffcc-87bd-d0d370dcd6eb,ramco-printing,Esther Ochieng,Brand Manager,,esther@example.co.ke,True,2026-08-11
eb478952-4ede-17a1-2259-372593df4dbe,d57861d7-86fb-2683-58be-f8bcc467249b,ramco-printing,Naomi Njoroge,Office Manager,,naomi@example.co.ke,True,2026-08-11
5a41c03c-7f6a-8652-f45a-9e0a104ca5ef,d57861d7-86fb-2683-58be-f8bcc467249b,ramco-printing,Faith Kiptoo,Brand Manager,,faith@example.co.ke,False,2026-08-11
289b7b50-bb00-40a9-11d6-11235cdab31e,d57861d7-86fb-2683-58be-f8bcc467249b,ramco-printing,Mercy Wafula,Procurement Officer,254782417111,mercy@example.co.ke,False,2026-08-11
9a8f2ac9-7612-119e-17ff-390567d27107,9e73b068-b3a6-14aa-a156-a0517e0c77a8,ramco-printing,Daniel Wafula,Office Manager,,daniel@example.co.ke,True,2026-08-11
dd5b6121-f6d8-bfb7-3f10-6b3863a58294,9e73b068-b3a6-14aa-a156-a0517e0c77a8,ramco-printing,Naomi Achieng,Marketing Manager,,naomi@example.co.ke,True,2026-08-11
6d6e56de-06c3-119f-f3ed-b93f0c2130b6,9e73b068-b3a6-14aa-a156-a0517e0c77a8,ramco-printing,Kevin Kamau,Marketing Manager,,kevin@example.co.ke,False,2026-08-11
f89a46b6-7c1c-b426-62f3-8215dc07d6eb,dbc3b092-5210-ecf2-db66-87e70035347c,ramco-printing,David Barasa,Marketing Manager,,david@example.co.ke,False,2026-08-11
85ce85dd-05de-a681-566a-fbf6c08ef549,dbc3b092-5210-ecf2-db66-87e70035347c,ramco-printing,Daniel Njoroge,Brand Manager,,daniel@example.co.ke,True,2026-08-11
0f51bd07-d2f8-1594-5e7b-4211b2e87ecc,dbc3b092-5210-ecf2-db66-87e70035347c,ramco-printing,James Ochieng,Office Manager,,james@example.co.ke,False,2026-08-11
7f03a13a-c22b-3530-2ef9-09b2f947b8f7,e4a24a2b-9485-8c1f-0863-f6897e3d4a0f,ramco-printing,Mary Chebet,Procurement Officer,,mary@example.co.ke,True,2026-08-11
dfacab3b-ce10-4dcb-9c09-09e2f90b0283,e4a24a2b-9485-8c1f-0863-f6897e3d4a0f,ramco-printing,Naomi Barasa,Procurement Officer,,naomi@example.co.ke,False,2026-08-11
dca5a304-054b-3413-7e2c-567aaf00312f,e4a24a2b-9485-8c1f-0863-f6897e3d4a0f,ramco-printing,Brian Njoroge,Brand Manager,254790778045,brian@example.co.ke,True,2026-08-11
36866ca8-142e-0299-26f4-36431c05909b,737cc2fa-89ae-f5d5-6246-8f6b3b93b36a,ramco-printing,Grace Muthoni,Brand Manager,,grace@example.co.ke,True,2026-08-11
dc71eebd-0fbb-7cd6-4b00-31c6d96567e9,72dd4feb-facf-13d3-79a2-1d440e62147b,ramco-printing,Daniel Njeri,Procurement Officer,,daniel@example.co.ke,True,2026-08-11
abc3d8fc-188c-acb1-bae0-f2914da062fb,72dd4feb-facf-13d3-79a2-1d440e62147b,ramco-printing,Caroline Mutiso,Brand Manager,,caroline@example.co.ke,False,2026-08-11
9dd077d8-4ee3-b94b-01f1-1cd116f44466,72dd4feb-facf-13d3-79a2-1d440e62147b,ramco-printing,Winnie Otieno,Marketing Manager,,winnie@example.co.ke,False,2026-08-11
e6638300-fc7e-676c-4473-f7d47a2f8940,cf6df40d-2ae6-3792-70c8-c21ba56cd4c9,ramco-printing,James Mwende,Brand Manager,,james@example.co.ke,False,2026-08-11
ed88df0d-0514-124d-8be0-e37ffdc26348,cf6df40d-2ae6-3792-70c8-c21ba56cd4c9,ramco-printing,Mercy Kariuki,Marketing Manager,,mercy@example.co.ke,True,2026-08-11
73800a44-d35e-e29d-51be-01169a00a81a,f4bcea1c-a9fc-85f2-a1fc-4c957ae2f877,ramco-printing,Peter Kamau,Marketing Manager,,peter@example.co.ke,True,2026-08-11
66ccd0ce-1f14-16cf-0a3c-4e6aa0ea08a6,f4bcea1c-a9fc-85f2-a1fc-4c957ae2f877,ramco-printing,Victor Achieng,Office Manager,,victor@example.co.ke,True,2026-08-11
91bc18f7-c9a7-df36-290a-1d75df00ec35,92eba0e3-1087-a447-9bae-74f56bef94c2,ramco-printing,Esther Wafula,Office Manager,,esther@example.co.ke,True,2026-08-11
01c4f432-629f-34fb-0349-aaed0409d7d5,264f9508-8edc-52a7-5b1f-e22ec5f9d06b,ramco-printing,Naomi Njoroge,Office Manager,,naomi@example.co.ke,False,2026-08-11
0d06d344-8393-6f82-5dab-a938201166ed,ca2f6f71-ed08-482b-f26a-4d45fe5fdc9e,ramco-printing,Joyce Odhiambo,Marketing Manager,,joyce@example.co.ke,False,2026-08-11
a2331e67-02ae-4fec-d908-a970e81c90de,ca2f6f71-ed08-482b-f26a-4d45fe5fdc9e,ramco-printing,Brian Mwende,Procurement Officer,,brian@example.co.ke,True,2026-08-11
4495e515-76ad-4d39-6fc8-fb861c6f471d,ca2f6f71-ed08-482b-f26a-4d45fe5fdc9e,ramco-printing,Grace Otieno,Procurement Officer,,grace@example.co.ke,True,2026-08-11
ca320f44-32ef-0807-48a1-028f7a308ec3,d111925e-7504-d72d-152e-503bed7db6cc,ramco-printing,Samuel Achieng,Procurement Officer,,samuel@example.co.ke,True,2026-08-11
b09d19e5-010d-4b02-8260-aab968ca19c4,2a27a916-5c7e-b7da-75da-e841e7d303bc,ramco-printing,Mercy Kamau,Office Manager,,mercy@example.co.ke,True,2026-08-11
2c995d46-5713-ab8f-9d1a-1c594a8a812d,216e5023-45f9-fbac-d29d-859395858d97,ramco-printing,Mercy Odhiambo,Office Manager,,mercy@example.co.ke,True,2026-08-11
93a27fd0-48d6-81cd-d664-d8d20c637e14,216e5023-45f9-fbac-d29d-859395858d97,ramco-printing,Kevin Kiptoo,Brand Manager,,kevin@example.co.ke,True,2026-08-11
219cc90c-4bdc-b03c-9b49-6226149148ae,f0976376-bdc7-6d35-b8b2-e6e3cb2a0036,ramco-printing,Grace Njeri,Procurement Officer,,grace@example.co.ke,False,2026-08-11
8c79839e-ae44-41d7-2f9b-00f7c1a7afc2,f0976376-bdc7-6d35-b8b2-e6e3cb2a0036,ramco-printing,Samuel Odhiambo,Brand Manager,,samuel@example.co.ke,False,2026-08-11
ab51c991-a06e-cb9c-fdc2-32a7aa9a1455,f0976376-bdc7-6d35-b8b2-e6e3cb2a0036,ramco-printing,Victor Kamau,Marketing Manager,,victor@example.co.ke,False,2026-08-11
2ab534a3-f438-f606-437c-af59e745e900,e2fb492f-f2af-0e4a-b09a-10a7853c7d4f,ramco-printing,Faith Odhiambo,Office Manager,,faith@example.co.ke,False,2026-08-11
0b29a5f0-311d-1012-a388-c074e7344c18,e2fb492f-f2af-0e4a-b09a-10a7853c7d4f,ramco-printing,John Achieng,Brand Manager,,john@example.co.ke,False,2026-08-11
b1ff5b20-e1e4-40b6-680d-f219dd5fdf24,e2fb492f-f2af-0e4a-b09a-10a7853c7d4f,ramco-printing,Joyce Omondi,Office Manager,,joyce@example.co.ke,True,2026-08-11
99535b49-4cc3-9533-cd19-daf4845bcaf5,23b9fd40-2749-b0ff-abc4-b43aae0ffd83,ramco-printing,Caroline Mwende,Procurement Officer,,caroline@example.co.ke,False,2026-08-11
97943682-47fe-0407-76f6-f6c7fe252601,23b9fd40-2749-b0ff-abc4-b43aae0ffd83,ramco-printing,Peter Otieno,Marketing Manager,,peter@example.co.ke,True,2026-08-11
4e1c14e0-80a8-6d8a-bb9b-f9bd57fb2c1e,1bf05a35-f976-2230-177b-77f509bb7474,ramco-printing,Brian Ochieng,Office Manager,,brian@example.co.ke,False,2026-08-11
e49442d0-dccc-078a-807c-fd9ad5a12999,0cd87a05-096d-b4c7-e804-63323654b0e1,ramco-printing,David Chebet,Brand Manager,,david@example.co.ke,True,2026-08-11
a5b634e3-f485-6047-6f6c-c4fa3cd9c621,0cd87a05-096d-b4c7-e804-63323654b0e1,ramco-printing,Naomi Achieng,Marketing Manager,,naomi@example.co.ke,False,2026-08-11
e7611437-9d00-66f8-bc94-cc3aa3e2ad45,d0cafddc-2be4-913d-30a1-8954f446d827,ramco-printing,Mary Mwende,Brand Manager,,mary@example.co.ke,False,2026-08-11
97452430-fe70-61a6-3bde-a150ce983640,e1d27b19-fd81-a720-7ce6-d4558d3a7e8a,ramco-printing,Daniel Wanjiru,Marketing Manager,,daniel@example.co.ke,True,2026-08-11
e8c4a57a-a28a-e563-dc1b-f2dc6a0519b5,e1d27b19-fd81-a720-7ce6-d4558d3a7e8a,ramco-printing,Daniel Mutiso,Procurement Officer,,daniel@example.co.ke,False,2026-08-11
c231304b-d8b6-2822-ec28-bd04fed209ea,52b54707-0030-b7df-aa8c-0f0777fd344d,ramco-printing,Naomi Mutiso,Brand Manager,,naomi@example.co.ke,False,2026-08-11
0e2515e8-9863-8d1a-8c41-7fb58dc4e452,52b54707-0030-b7df-aa8c-0f0777fd344d,ramco-printing,James Mureithi,Brand Manager,,james@example.co.ke,True,2026-08-11
d240cc13-ff1d-5584-d93c-07877ecdc61f,52b54707-0030-b7df-aa8c-0f0777fd344d,ramco-printing,Mercy Muthoni,Marketing Manager,,mercy@example.co.ke,False,2026-08-11
2f03c25f-fe75-f120-6346-1fb694fcd7a0,4066f493-868c-4f3d-16c6-1a9458abe20c,ramco-printing,Alice Kariuki,Office Manager,,alice@example.co.ke,False,2026-08-11
fb6690c5-6c00-c8f0-df31-9fb30c5b8305,4066f493-868c-4f3d-16c6-1a9458abe20c,ramco-printing,Peter Ochieng,Office Manager,,peter@example.co.ke,True,2026-08-11
37c0a7ba-c41e-12d0-b841-78e616c2693c,4066f493-868c-4f3d-16c6-1a9458abe20c,ramco-printing,Victor Muthoni,Office Manager,,victor@example.co.ke,False,2026-08-11
9afd121d-b7d3-d644-bb60-8bfb6e20ba31,d7c87397-488b-3eac-c17d-b4e2b56cb2b7,ramco-printing,Alice Njoroge,Office Manager,,alice@example.co.ke,False,2026-08-11
9cb32bb2-4335-d274-4207-662bd562c2b7,d7c87397-488b-3eac-c17d-b4e2b56cb2b7,ramco-printing,Peter Barasa,Office Manager,,peter@example.co.ke,True,2026-08-11
3abb3fbd-2d3a-0d2c-2152-00d59fca7579,340700a7-732e-caff-e197-00b2c815e43e,ramco-printing,David Kamau,Office Manager,,david@example.co.ke,False,2026-08-11
3179bdad-bf71-f10e-c3f5-70bde7461596,340700a7-732e-caff-e197-00b2c815e43e,ramco-printing,Faith Kiptoo,Brand Manager,,faith@example.co.ke,True,2026-08-11
3126df68-f4be-8288-3dd0-d076fadc6c2a,e5b83da9-b827-0066-25c5-51b7ad1bab29,ramco-printing,Peter Wanjiru,Brand Manager,,peter@example.co.ke,True,2026-08-11
5f9ce118-98c6-7d54-05c3-c7a374e544d2,e5b83da9-b827-0066-25c5-51b7ad1bab29,ramco-printing,Alice Muthoni,Office Manager,,alice@example.co.ke,False,2026-08-11
16a93772-4fc4-4963-16f2-2f40bba41006,c2a78948-672d-3480-815c-adaf49b3a057,ramco-printing,Winnie Kiptoo,Marketing Manager,,winnie@example.co.ke,True,2026-08-11
3db7a10e-4777-589d-050b-92248c1f6235,69685250-e02d-3f69-b8f3-6afa01b9357a,ramco-printing,Brian Kamau,Brand Manager,,brian@example.co.ke,True,2026-08-11
ca1718c4-8365-0f7b-ab5b-0250186cfd38,69685250-e02d-3f69-b8f3-6afa01b9357a,ramco-printing,Kevin Chebet,Marketing Manager,,kevin@example.co.ke,True,2026-08-11
dc2254cf-5a5e-592b-3ab6-d4f483210d81,5f66bb0d-da5a-b328-4211-0288cdc4ba6f,ramco-printing,Joyce Odhiambo,Office Manager,,joyce@example.co.ke,False,2026-08-11
bf1a2a39-afd5-df7d-2733-be7b2fae557e,5f66bb0d-da5a-b328-4211-0288cdc4ba6f,ramco-printing,Brian Njeri,Brand Manager,,brian@example.co.ke,False,2026-08-11
27fd4830-cd23-5055-bb87-765dbb2a4cac,15b92953-241e-c9cb-1659-acf4af839420,ramco-printing,Brian Wanjiru,Brand Manager,,brian@example.co.ke,True,2026-08-11
06d6cca5-539c-878f-6425-d3c909646b51,15b92953-241e-c9cb-1659-acf4af839420,ramco-printing,David Odhiambo,Procurement Officer,,david@example.co.ke,True,2026-08-11
06493e07-9d04-e353-e517-929f2610e604,15b92953-241e-c9cb-1659-acf4af839420,ramco-printing,Kevin Kamau,Procurement Officer,,kevin@example.co.ke,False,2026-08-11
ff084025-060b-5b7b-af58-dc658925bc47,5abb59de-2e94-70ef-2be5-2f571f1cd5d0,ramco-printing,Caroline Odhiambo,Brand Manager,,caroline@example.co.ke,False,2026-08-11
1a4fae58-f721-8265-e0ac-478ff7620ab4,5abb59de-2e94-70ef-2be5-2f571f1cd5d0,ramco-printing,Victor Chebet,Office Manager,,victor@example.co.ke,True,2026-08-11
2c64fb08-419a-f993-80a9-fd8a8448052d,5abb59de-2e94-70ef-2be5-2f571f1cd5d0,ramco-printing,Kevin Mwende,Office Manager,,kevin@example.co.ke,False,2026-08-11
7f224e32-28b6-8045-4c63-712e8ba17415,d95d24b0-7124-8976-27b6-d6d527788979,ramco-printing,Kevin Achieng,Marketing Manager,,kevin@example.co.ke,False,2026-08-11
a2d67baf-cf49-0368-6246-39b37558304b,5ed7e7d8-8371-128d-9e01-df5e9d3259b2,ramco-printing,Victor Mutiso,Marketing Manager,,victor@example.co.ke,False,2026-08-11
9a2ad290-88ba-54aa-6f88-b9f37ff3f1c6,b57b7fce-5d68-09f5-81b2-64659e8e058a,ramco-printing,Daniel Kamau,Office Manager,,daniel@example.co.ke,False,2026-08-11
0a513fbf-fd81-3ba8-7861-b9445de46f71,b57b7fce-5d68-09f5-81b2-64659e8e058a,ramco-printing,Samuel Wafula,Marketing Manager,,samuel@example.co.ke,True,2026-08-11
bdc4aacd-c2d2-e133-218b-83894882fb0d,40ce51ac-1c59-d345-c400-97e7d1a1bc8c,ramco-printing,Dennis Barasa,Brand Manager,,dennis@example.co.ke,False,2026-08-11
38979c95-6fbf-b1fe-8679-04df08b6f2fa,a6e43db4-0e02-1dce-b316-ec6483e80d5e,ramco-printing,Mercy Kiptoo,Brand Manager,,mercy@example.co.ke,True,2026-08-11
265c9544-1583-634d-d3c8-7f696c88d3d8,a6e43db4-0e02-1dce-b316-ec6483e80d5e,ramco-printing,Mercy Njoroge,Office Manager,,mercy@example.co.ke,False,2026-08-11
7ab62628-711f-3b4f-a641-93f0eee77be0,056acd07-b13e-29f4-fcee-2c1b453aba36,ramco-printing,Victor Mutiso,Procurement Officer,,victor@example.co.ke,True,2026-08-11
57d5e507-f930-f88b-7f45-2fb432ab23fd,056acd07-b13e-29f4-fcee-2c1b453aba36,ramco-printing,Grace Otieno,Brand Manager,,grace@example.co.ke,False,2026-08-11
a0392073-e830-1303-ef5a-c5c99d4b8fe6,85a66359-8341-c3df-1cdf-66e0599545c6,ramco-printing,Joyce Mureithi,Procurement Officer,,joyce@example.co.ke,False,2026-08-11
8f3feab8-c665-c5fb-4b7b-ef79010f06d0,5824d67b-7c9b-d73a-a492-78cf9a10f5c7,ramco-printing,Mercy Njoroge,Office Manager,,mercy@example.co.ke,True,2026-08-11
9f8d60f7-199c-2562-6482-06e301c59386,5824d67b-7c9b-d73a-a492-78cf9a10f5c7,ramco-printing,Victor Ochieng,Procurement Officer,,victor@example.co.ke,True,2026-08-11
192aa3f8-38b9-74c1-ade3-9b26d174d57c,9851ce39-a8ef-7a3c-182e-195b8599613f,ramco-printing,Daniel Mutiso,Procurement Officer,,daniel@example.co.ke,False,2026-08-11
0a1cdb29-d7dc-4606-3341-58b683c7cafe,9851ce39-a8ef-7a3c-182e-195b8599613f,ramco-printing,Grace Mutiso,Brand Manager,,grace@example.co.ke,False,2026-08-11
34710e36-9dd6-55be-0e49-909910e22277,f698aed6-9f84-5bec-cc70-d1998377c749,ramco-printing,Alice Chebet,Office Manager,,alice@example.co.ke,False,2026-08-11
7c6f8695-aa42-82bf-1347-5bd0effaa492,f698aed6-9f84-5bec-cc70-d1998377c749,ramco-printing,Mercy Mureithi,Marketing Manager,,mercy@example.co.ke,False,2026-08-11
8a366fe9-42f3-2bdc-baf7-3ac6dd0913e2,f698aed6-9f84-5bec-cc70-d1998377c749,ramco-printing,Joyce Kariuki,Marketing Manager,,joyce@example.co.ke,False,2026-08-11
59944213-0ced-0c48-86a5-240a169f361f,644f0335-74ad-84e7-c2fe-e1ba6f020342,ramco-printing,Naomi Wafula,Marketing Manager,,naomi@example.co.ke,False,2026-08-11
d52d6b71-af68-8d69-44eb-89baadef9f17,cc9a38b8-22cd-3a50-f6b1-0a7fc187593a,ramco-printing,Alice Mureithi,Office Manager,,alice@example.co.ke,True,2026-08-11
ad3aac3b-01b0-0961-4f6e-380bf8939f2f,cc9a38b8-22cd-3a50-f6b1-0a7fc187593a,ramco-printing,Faith Mureithi,Procurement Officer,,faith@example.co.ke,True,2026-08-11
63a091fe-c997-65ae-ba4b-57b2cf5f8154,de046c82-323a-44d9-4bbd-387ca8ad5f7b,ramco-printing,Samuel Otieno,Brand Manager,,samuel@example.co.ke,False,2026-08-11
b3335b1f-ee75-e587-dadc-066c4552c4ee,de046c82-323a-44d9-4bbd-387ca8ad5f7b,ramco-printing,Victor Otieno,Marketing Manager,,victor@example.co.ke,False,2026-08-11
4291c571-c4fa-5036-e9bd-38c5528ee0cc,273f0a46-b0e0-15e4-2eea-537dd458199d,ramco-printing,Faith Njoroge,Brand Manager,,faith@example.co.ke,False,2026-08-11
2bf3e9fe-1913-608e-8147-3b4564b45b91,61a6c6b5-7d4a-e5df-355b-adfdc4bf176a,ramco-printing,John Mutiso,Brand Manager,,john@example.co.ke,False,2026-08-11
2547c00b-5e9e-d306-4af8-d3e5aa30965c,61a6c6b5-7d4a-e5df-355b-adfdc4bf176a,ramco-printing,Grace Mureithi,Procurement Officer,,grace@example.co.ke,False,2026-08-11
83f41da9-b524-8f0e-a3dc-4dfc6287485f,61a6c6b5-7d4a-e5df-355b-adfdc4bf176a,ramco-printing,John Kariuki,Procurement Officer,,john@example.co.ke,False,2026-08-11
f7cacdb6-53e3-7e1e-8258-7bd45176ac5e,b5c603f1-af1d-e19b-df98-e35de2c28820,ramco-printing,Naomi Kamau,Office Manager,,naomi@example.co.ke,False,2026-08-11
da0e1fab-1e26-bf68-e76e-2c7a698ad934,b5c603f1-af1d-e19b-df98-e35de2c28820,ramco-printing,Winnie Kariuki,Marketing Manager,,winnie@example.co.ke,True,2026-08-11
681b3e93-0234-19ec-7875-1883928d5395,b5c603f1-af1d-e19b-df98-e35de2c28820,ramco-printing,Daniel Mwende,Procurement Officer,,daniel@example.co.ke,True,2026-08-11
