quote_ref,tenant_id,product_line,account_id,contact_name,contact_phone,requirement,status,created_at
QR-7037,sai-ke,Stationery,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,Dennis Kariuki,254799368441,Enquiry for stationery,with_sales,2026-06-26
QR-7038,sai-ke,Office Furniture,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,Mercy Chebet,254731076321,Enquiry for office furniture,won,2026-07-30
QR-7039,sai-ke,Cooling Solutions,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,Winnie Chebet,254710491787,Enquiry for cooling solutions,lost,2026-08-09
QR-7040,sai-ke,IT Solutions & Office Automation,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,Paul Ochieng,254765956580,Enquiry for it solutions & office automation,quoted,2026-07-21
QR-7041,sai-ke,Cooling Solutions,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,Anthony Odhiambo,254773820945,Enquiry for cooling solutions,quoted,2026-07-12
QR-7042,sai-ke,Office Furniture,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,David Muthoni,254776994615,Enquiry for office furniture,new,2026-06-22
QR-7043,sai-ke,IT Solutions & Office Automation,,Naomi Achieng,254795957890,Enquiry for it solutions & office automation,new,2026-06-17
QR-7044,sai-ke,Solar,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,Kevin Mutiso,254792388542,Enquiry for solar,won,2026-08-01
QR-7045,sai-ke,Solar,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,Sharon Auma,254757991683,Enquiry for solar,quoted,2026-07-14
QR-7046,sai-ke,IT Solutions & Office Automation,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,Samuel Njeri,254778379287,Enquiry for it solutions & office automation,quoted,2026-07-18
QR-7047,sai-ke,Solar,,John Mwende,254748489278,Enquiry for solar,quoted,2026-07-28
QR-7048,sai-ke,Stationery,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,James Ochieng,254771051074,Enquiry for stationery,new,2026-07-15
QR-7049,sai-ke,Office Furniture,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,Daniel Mutiso,254748123097,Enquiry for office furniture,lost,2026-06-13
QR-7050,sai-ke,Office Furniture,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,Brian Nyambura,254719534096,Enquiry for office furniture,lost,2026-06-22
QR-7051,sai-ke,Solar,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,Dennis Mutiso,254769053814,Enquiry for solar,quoted,2026-06-22
QR-7052,sai-ke,Cooling Solutions,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,Grace Wanjiru,254791816885,Enquiry for cooling solutions,quoted,2026-07-14
QR-7053,sai-ke,Office Furniture,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,Peter Achieng,254711689120,Enquiry for office furniture,won,2026-06-17
QR-7054,sai-ke,IT Solutions & Office Automation,,Beatrice Barasa,254757571448,Enquiry for it solutions & office automation,quoted,2026-06-30
QR-7055,sai-ke,Stationery,,James Odhiambo,254740563536,Enquiry for stationery,won,2026-07-13
QR-7056,sai-ke,Solar,,Joyce Achieng,254787591912,Enquiry for solar,quoted,2026-07-28
QR-7057,sai-ke,IT Solutions & Office Automation,,Samuel Adhiambo,254737927249,Enquiry for it solutions & office automation,quoted,2026-07-31
QR-7058,sai-ke,Office Furniture,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,Peter Auma,254798207352,Enquiry for office furniture,lost,2026-07-15
QR-7059,sai-ke,IT Solutions & Office Automation,,Kevin Chebet,254796794563,Enquiry for it solutions & office automation,new,2026-07-31
