client_id,tenant_id,full_name,wa_id,email,area,property_type,first_contact_at
a874a8e6-7ed6-3d78-8a7e-64f467e9ed4d,kandb,Kamau Bhatt,254750383710,kamau@example.co.ke,Kitisuru,renovation,2026-06-14
113f1b88-e817-d5eb-1fae-b1b334ec4906,kandb,Muthoni Kimani,254740470775,muthoni@example.co.ke,Kitisuru,new_build,2025-11-17
f5c19d9a-2e33-9f72-793f-728bb758377f,kandb,Nadia Abdi,,nadia@example.co.ke,Westlands,renovation,2025-12-05
62b7b93d-2eaf-c7c0-658f-d453a70a28ab,kandb,Grace Rana,,grace@example.co.ke,Nyari,new_build,2026-03-30
4f1e23df-3350-0519-d9f7-47b12f0f1d06,kandb,Anand Kariuki,,anand@example.co.ke,Spring Valley,apartment,2025-01-10
b6588f03-da71-ef29-5250-1959b7df19c2,kandb,Brian Karanja,,brian@example.co.ke,Nyari,renovation,2025-12-29
d7dd835f-89ab-eebc-c8aa-08b902aba5fe,kandb,Nikhil Hussein,254765664458,nikhil@example.co.ke,Nyari,renovation,2026-02-07
e450469f-8e65-a7a5-98a9-df77883c2c10,kandb,Brian Njoroge,254746380467,brian@example.co.ke,Rosslyn,new_build,2024-11-29
23b2ffab-fc9a-bb85-244f-36ef4a99bdac,kandb,Deepak Abdi,254762998894,deepak@example.co.ke,Gigiri,renovation,2025-05-12
747124d9-588a-2ce9-3490-c573def9c2f7,kandb,Hassan Otieno,254715038033,hassan@example.co.ke,Rosslyn,apartment,2025-12-23
e922ff44-0a6f-e3d6-2d29-00db2ba11f3f,kandb,Njeri Abdi,254761420284,njeri@example.co.ke,Loresho,renovation,2025-03-20
c02450e3-8edc-a8af-dc49-3bfcae6d30c3,kandb,Waweru Kimani,,waweru@example.co.ke,Muthaiga,apartment,2026-04-30
3461bb83-bd78-7d25-5fea-15f44796f3de,kandb,Fatuma Bhatt,,fatuma@example.co.ke,Muthaiga,apartment,2026-06-11
dd7332bb-4fc7-a15f-1a9b-93e52df84c16,kandb,Brian Patel,254728376634,brian@example.co.ke,Kileleshwa,new_build,2026-03-08
25e53d5b-f410-c394-9d06-f109eaeeec3d,kandb,Rajesh Abdi,,rajesh@example.co.ke,Loresho,renovation,2026-03-01
1b5abb8a-9746-e7c4-0427-77e0bdaa03de,kandb,Muthoni Ochieng,254738219869,muthoni@example.co.ke,Rosslyn,renovation,2025-11-20
377c49ec-0188-7ae7-1e4b-9991c09b9052,kandb,Waweru Gupta,254744999243,waweru@example.co.ke,Rosslyn,renovation,2025-11-16
f2e9667e-c216-00f2-6702-e0c360995057,kandb,Brian Ochieng,,brian@example.co.ke,Spring Valley,apartment,2024-11-26
d1711c26-cce5-60a9-a867-ef800d6c93d6,kandb,Muthoni Mwangi,,muthoni@example.co.ke,Lavington,renovation,2024-10-20
5aa4eca6-67db-31d4-5640-a68fd76a1470,kandb,Leila Kariuki,,leila@example.co.ke,Kileleshwa,apartment,2025-06-01
